rank;french;engl;example_french;example_engl
1;être;be;;
2;avoir;to have;;
3;pouvoir;power;;
4;ce;This;;
5;un;A;;
6;je;I;;
7;premier;first;;
8;lui;him;;
9;faire;TO DO;;
10;tout;All;;
11;le;THE;;
12;nouveau;new;;
13;devoir;duty;;
14;dernier;last;;
15;après;After;;
16;même;even;;
17;depuis;Since;;
18;aller;go;;
19;si;if;;
20;notre;OUR;;
21;entrer;enter;;
22;bien;GOOD;;
23;grand;big;;
24;vous;YOU;;
25;pays;country;;
26;luire;glow;;
27;dire;say;;
28;selon;according to;;
29;très;very;;
30;contre;against;;
31;il;he;;
32;on;we;;
33;prendre;take;;
34;sans;without;;
35;encore;Again;;
36;voir;see;;
37;mais;but;;
38;également;also;;
39;personne;person;;
40;celui;the one;;
41;mettre;put;;
42;pour;For;;
43;lors;during;;
44;jour;day;;
45;président;president;;
46;autre;other;;
47;avant;Before;;
48;année;year;;
49;où;Or;;
50;mon;My;;
51;passer;pass;;
52;et;And;;
53;alors;SO;;
54;permettre;allow;;
55;jeu;game;;
56;ministre;minister;;
57;plusieurs;several;;
58;leur;their;;
59;trois;three;;
60;ainsi;Thus;;
61;place;place;;
62;dans;In;;
63;celer;celer;;
64;vouloir;to want;;
65;dont;of which;;
66;certain;certain;;
67;de;of;;
68;fois;times;;
69;nous;We;;
70;monde;world;;
71;falloir;to need;;
72;quelque;some;;
73;savoir;know;;
74;venir;come;;
75;france;France;;
76;déjà;Already;;
77;temps;time;;
78;donc;SO;;
79;moins;less;;
80;cela;that;;
81;public;audience;;
82;mois;month;;
83;peu;little;;
84;fin;END;;
85;politique;policy;;
86;national;national;;
87;projet;project;;
88;bon;Good;;
89;jeune;young;;
90;partir;leave;;
91;point;point;;
92;toujours;always;;
93;travail;work;;
94;français;French;;
95;gouvernement;government;;
96;annoncer;announce;;
97;face;face;;
98;conseil;advice;;
99;trouver;find;;
100;notamment;notably;;
101;groupe;band;;
102;match;match;;
103;ville;city;;
104;sou;penny;;
105;semaine;week;;
106;vie;life;;
107;million;million;;
108;petit;little;;
109;service;service;;
110;au;At;;
111;vers;towards;;
